id;en;pt
relogio_descript;You get faster when you beat. It all seemed so quick...;Você fica mais veloz quando bate.
relogio_message;Time passes fast... doesn't it?;O tempo passa rápido... Não acha?
relogio_name;The Time;O Tempo
pato_descript;A rubber duck. Quack!;Um pato de borracha. Quack! 
pato_name;Rogerio;Rogério
pato_message;ignore;ignore
espada_descript;The responsability allows you to fight back but it's also a burden...;A responsabilidade permite que você lute de volta mas também é um fardo...
espada_name;Responsability;Responsabilidade
espada_message;Now you can attack back! ...plumber style. Jump on the target. ;Agora você pode contra atacar!...No estilo encanador. Pule no alvo.
journey_start;At this world you have now arrived.\n I hope you have a good journey.;A este mundo agora chegou.\n Espero que tenha uma boa jornada.
beat_tutorial;You are a heart. Press space to beat.;Você é um coração. Aperte espaço para bater.
fast_beat_tutorial;You dont wanna take too long to beat,\n but you dont have to hurry either;Você não vai querer demorar demais pra bater,\n mas não precisa ter pressa também.
no_need;There is no necessity for that anymore.;Não há necessidade disso mais.
fast_beat;Watch out! Too fast!;Cuidado! Rápido demais.
return;Return;Retornar
all_gone;It's all gone, so quickly..\n I wont last more than five.. \n But it was all worth it...;Tudo se foi, tão rápido...\n Eu não passarei de mais cinco...\n Mas valeu tudo a pena.
cicle_end;And here the cicle ends.\n  Does it?... \n There is no end, only a Resumption... ;E aqui o ciclo acaba.\n Acaba....? \nNão existe fim, apenas recomeço...
back_menu;Go back to menu;Voltar para o menu